date,ticker,rolling_sharpe_252d,rolling_sortino_252d,var_95_252d,cvar_95_252d,max_drawdown_60d
2024-08-14,^AXJO,0.8053245080289951,1.2799246624073697,-1.2505728314401499,-1.6507025909364679,-3.2533549440619036
2024-08-15,^AXJO,0.8816751291646724,1.400057110000594,-1.2505728314401499,-1.6507025909364679,-3.0709723010648227
2024-08-16,^AXJO,0.9882271900187861,1.579018544953178,-1.2505728314401499,-1.6507025909364679,-1.7696291199914116
2024-08-19,^AXJO,1.038018218281471,1.6565821130872573,-1.2505728314401499,-1.6507025909364679,-1.6550247049956224
2024-08-20,^AXJO,1.04910283076879,1.674437088008736,-1.2505728314401499,-1.6507025909364679,-1.4418277593001627
2024-08-21,^AXJO,1.031000361353199,1.6449719190707328,-1.2505728314401499,-1.6507025909364679,-1.284091744667193
2024-08-22,^AXJO,1.0089043532543562,1.6088059591022439,-1.2505728314401499,-1.6507025909364679,-1.0807570606633177
2024-08-23,^AXJO,1.0889982961640043,1.736963491023936,-1.2505728314401499,-1.6507025909364679,-1.1189605380763301
2024-08-26,^AXJO,1.0993420237491318,1.7545257845220612,-1.2505728314401499,-1.6507025909364679,-0.3721664951952919
2024-08-27,^AXJO,1.0260399077776383,1.6360821151508145,-1.2505728314401499,-1.6507025909364679,-0.5360641669192923
2024-08-28,^AXJO,0.9271299674318823,1.4709481094495307,-1.2505728314401499,-1.6507025909364679,-0.5336031144288267
2024-08-29,^AXJO,0.8896121412937618,1.412952407291422,-1.2505728314401499,-1.6507025909364679,-0.8577038705195106
2024-08-30,^AXJO,0.9711791370898823,1.5423940407570311,-1.2505728314401499,-1.6507025909364679,-0.2809751736967514
2024-09-02,^AXJO,0.9432124119763814,1.4966897188080697,-1.2505728314401499,-1.6507025909364679,-0.05915551841980671
2024-09-03,^AXJO,0.9413734783937934,1.4939097134155142,-1.2505728314401499,-1.6507025909364679,-0.14171811309360294
2024-09-04,^AXJO,0.8368945663316318,1.3141585122360835,-1.281433635342812,-1.6974439366030338,-2.0234905955903493
2024-09-05,^AXJO,0.9772169110480619,1.5377057190511407,-1.281433635342812,-1.6974439366030338,-1.6303780766315223
2024-09-06,^AXJO,1.0273786313387112,1.616042660728274,-1.281433635342812,-1.6974439366030338,-1.248355336987883
2024-09-09,^AXJO,0.9579582868787058,1.507313269185952,-1.281433635342812,-1.6974439366030338,-1.560132778896517
2024-09-10,^AXJO,0.9659569105365908,1.5201179906113358,-1.281433635342812,-1.6974439366030338,-1.2668403082609636
2024-09-11,^AXJO,1.0051299853628408,1.5821685244812502,-1.281433635342812,-1.6974439366030338,-1.5625998486302306
2024-09-12,^AXJO,1.0567098276791933,1.6691299038643517,-1.281433635342812,-1.6974439366030338,-0.48060925310005054
