date,ticker,article_count,avg_sentiment,bullish_count,bearish_count,neutral_count,market_group,bull_bear_ratio
2022-12-20,QQQ,4,-0.021580317057669163,0,0,2,US,0.0
2022-12-20,SPY,7,0.12757596373558044,0,0,4,US,0.0
2022-12-21,GLD,2,-0.3146986272186041,0,0,1,Commodities,0.0
2022-12-21,QQQ,1,-0.9416897380724549,0,0,0,US,0.0
2022-12-21,SPY,8,-0.06594091246370226,0,0,4,US,0.0
2022-12-22,QQQ,4,-0.20818510570097715,0,0,3,US,0.0
2022-12-22,SPY,9,-0.19483605456641978,0,0,7,US,0.0
2022-12-23,GLD,3,-0.5708958332737287,0,0,1,Commodities,0.0
2022-12-23,QQQ,4,-0.8114581629633904,0,0,0,US,0.0
2022-12-23,SPY,6,-0.5701788890485963,0,0,2,US,0.0
2022-12-27,GLD,1,-0.24458438158035278,0,0,0,Commodities,0.0
2022-12-27,QQQ,3,-0.9133705220495661,0,0,0,US,0.0
2022-12-27,SPY,11,-0.30900558236647735,0,0,2,US,0.0
2022-12-27,USO,1,0.6433579381555319,0,0,0,Commodities,0.0
2022-12-28,QQQ,7,0.13897959116314137,0,0,4,US,0.0
2022-12-28,SPY,11,-0.20112809318710456,0,0,5,US,0.0
2022-12-28,USO,1,0.8091265074908733,0,0,0,Commodities,0.0
2022-12-29,GLD,1,0.2495733331888914,0,0,1,Commodities,0.0
2022-12-29,QQQ,2,0.8939722739160061,0,0,0,US,0.0
2022-12-29,SPY,9,0.17230456229299307,0,0,5,US,0.0
2022-12-29,USO,1,0.9068341739475727,0,0,0,Commodities,0.0
2022-12-30,GLD,1,-0.8081963658332825,0,0,0,Commodities,0.0
2022-12-30,QQQ,1,-0.020285042002797127,0,0,1,US,0.0
2022-12-30,SPY,13,-0.6532172737284921,0,0,1,US,0.0
2022-12-30,USO,1,0.7575444057583809,0,0,0,Commodities,0.0
2023-01-03,QQQ,5,-0.20732745081186293,0,0,2,US,0.0
2023-01-03,SPY,12,0.02615091165838142,0,0,5,US,0.0
2023-01-03,USO,1,0.14469311013817787,0,0,1,Commodities,0.0
2023-01-04,QQQ,2,-0.09414812363684177,0,0,0,US,0.0
2023-01-04,SPY,8,-0.10626928752753884,0,0,2,US,0.0
2023-01-05,QQQ,1,0.6581822782754898,0,0,0,US,0.0
2023-01-05,SPY,7,0.1480827004249607,0,0,4,US,0.0
2023-01-05,USO,1,0.1169284749776125,0,0,1,Commodities,0.0
2023-01-06,GLD,1,0.02332957834005356,0,0,1,Commodities,0.0
2023-01-06,QQQ,7,0.1952838467966233,0,0,2,US,0.0
2023-01-06,SPY,16,0.05994959105737507,0,0,6,US,0.0
2023-01-09,GLD,3,-0.9501440757885575,0,0,0,Commodities,0.0
2023-01-09,QQQ,3,-0.4043555563936631,0,0,1,US,0.0
2023-01-09,SPY,16,-0.5632806204375811,0,0,5,US,0.0
2023-01-10,GLD,1,0.7094544023275375,0,0,0,Commodities,0.0
2023-01-10,QQQ,4,-0.3659417270682752,0,0,1,US,0.0
2023-01-10,SPY,9,0.20802653994825152,0,0,2,US,0.0
2023-01-10,USO,1,0.267297325655818,0,0,1,Commodities,0.0
2023-01-11,GLD,2,-0.34326218673959374,0,0,1,Commodities,0.0
2023-01-11,QQQ,4,0.2206255418714136,0,0,2,US,0.0
2023-01-11,SPY,8,-0.009542104904539883,0,0,3,US,0.0
2023-01-12,GLD,1,-0.7637472897768021,0,0,0,Commodities,0.0
2023-01-12,QQQ,1,0.024048443883657455,0,0,1,US,0.0
2023-01-12,SPY,4,-0.3061743350699544,0,0,3,US,0.0
2023-01-13,GLD,2,0.34874103497713804,0,0,1,Commodities,0.0
2023-01-13,QQQ,6,0.1789792518441876,0,0,2,US,0.0
2023-01-13,SPY,9,0.05634452278415362,0,0,4,US,0.0
2023-01-17,GLD,7,-0.28986544561173233,0,0,3,Commodities,0.0
2023-01-17,QQQ,4,-0.5492208562791348,0,0,0,US,0.0
2023-01-17,SPY,11,-0.10020684416998517,0,0,5,US,0.0
2023-01-18,QQQ,1,-0.9592077415436506,0,0,0,US,0.0
2023-01-18,SPY,5,-0.7635994536802173,0,0,1,US,0.0
2023-01-19,GLD,3,-0.21536336187273264,0,0,2,Commodities,0.0
2023-01-19,QQQ,5,-0.6069991294294595,0,0,1,US,0.0
2023-01-19,SPY,9,-0.3196898154500458,0,0,3,US,0.0
2023-01-20,GLD,1,-0.18106600642204285,0,0,1,Commodities,0.0
2023-01-20,QQQ,2,-0.02709623472765088,0,0,0,US,0.0
2023-01-20,SPY,8,-0.014634540071710944,0,0,4,US,0.0
2023-01-23,GLD,2,-0.3907078094780445,0,0,1,Commodities,0.0
2023-01-23,QQQ,8,0.051227254210971296,0,0,3,US,0.0
2023-01-23,SPY,15,-0.05151074193418026,0,0,4,US,0.0
2023-01-24,GLD,7,-0.13194290814655169,0,0,1,Commodities,0.0
2023-01-24,QQQ,5,0.01167803853750229,0,0,1,US,0.0
2023-01-24,SPY,14,-0.23098164218078768,0,0,3,US,0.0
2023-01-25,GLD,3,-0.9006752700855335,0,0,0,Commodities,0.0
2023-01-25,QQQ,2,-0.8706578770652413,0,0,0,US,0.0
2023-01-25,SPY,9,-0.18492129331247675,0,0,5,US,0.0
2023-01-26,GLD,2,0.46206290926784277,0,0,1,Commodities,0.0
2023-01-26,QQQ,8,0.40276741748675704,0,0,2,US,0.0
2023-01-26,SPY,11,0.3246597227725116,0,0,5,US,0.0
2023-01-27,GLD,4,-0.02890565851703286,0,0,0,Commodities,0.0
2023-01-27,QQQ,4,0.7589676203206182,0,0,0,US,0.0
2023-01-27,SPY,10,0.18254413474351167,0,0,1,US,0.0
2023-01-30,GLD,2,-0.6103148981928825,0,0,1,Commodities,0.0
2023-01-30,QQQ,2,0.20819996669888496,0,0,2,US,0.0
2023-01-30,SPY,8,-0.14419633510988206,0,0,3,US,0.0
2023-01-31,GLD,1,-0.9326931554824114,0,0,0,Commodities,0.0
2023-01-31,QQQ,3,0.57063606629769,0,0,0,US,0.0
2023-01-31,SPY,8,-0.050894351792521775,0,0,5,US,0.0
2023-02-01,GLD,1,-0.579184990376234,0,0,0,Commodities,0.0
2023-02-01,QQQ,8,0.5887070548487827,0,0,1,US,0.0
2023-02-01,SPY,11,0.2702495904470032,0,0,3,US,0.0
2023-02-02,GLD,3,0.37296526941160363,0,0,2,Commodities,0.0
2023-02-02,QQQ,6,0.5615580792849263,0,0,1,US,0.0
2023-02-02,SPY,11,0.20994612083516337,0,0,6,US,0.0
2023-02-03,GLD,1,0.1352120041847229,0,0,0,Commodities,0.0
2023-02-03,QQQ,3,-0.6974578642596801,0,0,1,US,0.0
2023-02-03,SPY,8,-0.2682203692384064,0,0,3,US,0.0
2023-02-06,GLD,7,-0.31443500372448135,0,0,2,Commodities,0.0
2023-02-06,QQQ,4,-0.6706602056510746,0,0,1,US,0.0
2023-02-06,SPY,15,-0.29029066270838183,0,0,6,US,0.0
2023-02-07,QQQ,5,0.06908522211015225,0,0,1,US,0.0
2023-02-07,SLV,1,0.19484470784664154,0,0,0,Commodities,0.0
2023-02-07,SPY,8,-0.19720494654029608,0,0,3,US,0.0
2023-02-08,GLD,1,0.06181030720472336,0,0,1,Commodities,0.0
2023-02-08,QQQ,2,-0.46866934886202216,0,0,1,US,0.0
2023-02-08,SPY,9,-0.23167991431223023,0,0,6,US,0.0
2023-02-09,GLD,1,0.6650047972798347,0,0,0,Commodities,0.0
2023-02-09,QQQ,4,-0.5347691331990063,0,0,1,US,0.0
2023-02-09,SPY,6,-0.08821721468120813,0,0,3,US,0.0
2023-02-10,GLD,1,0.03320985473692417,0,0,1,Commodities,0.0
2023-02-10,QQQ,4,-0.6621318480465561,0,0,1,US,0.0
2023-02-10,SPY,5,-0.5520629609003663,0,0,2,US,0.0
2023-02-13,GLD,2,-0.35824656672775745,0,0,1,Commodities,0.0
2023-02-13,QQQ,7,0.07959465070494584,0,0,3,US,0.0
2023-02-13,SPY,13,0.10909495044213074,0,0,6,US,0.0
2023-02-14,QQQ,4,-0.3524193111807108,0,0,1,US,0.0
2023-02-14,SPY,7,-0.19556553422340325,0,0,4,US,0.0
2023-02-15,GLD,2,-0.040980986319482327,0,0,2,Commodities,0.0
2023-02-15,QQQ,5,0.5428048755973578,0,0,1,US,0.0
2023-02-15,SPY,6,0.2335215232645472,0,0,4,US,0.0
2023-02-16,GLD,2,-0.1856270395219326,0,0,1,Commodities,0.0
2023-02-16,QQQ,2,-0.011959366500377655,0,0,0,US,0.0
2023-02-16,SPY,15,0.12572241661449274,0,0,8,US,0.0
2023-02-17,GLD,5,-0.6638408591970801,0,0,1,Commodities,0.0
2023-02-17,QQQ,7,-0.805234095081687,0,0,1,US,0.0
2023-02-17,SPY,12,-0.4371059763555725,0,0,4,US,0.0
2023-02-21,GLD,4,-0.858619645703584,0,0,0,Commodities,0.0
2023-02-21,QQQ,6,-0.6925567118450999,0,0,2,US,0.0
2023-02-21,SPY,22,-0.5610798833764751,0,0,6,US,0.0
2023-02-21,USO,1,-0.20125481486320496,0,0,1,Commodities,0.0
2023-02-22,GLD,1,-0.7151132002472878,0,0,0,Commodities,0.0
2023-02-22,QQQ,8,-0.3475276849931106,0,0,3,US,0.0
2023-02-22,SPY,13,-0.1422608569980814,0,0,5,US,0.0
2023-02-23,GLD,2,0.08631545584648848,0,0,2,Commodities,0.0
2023-02-23,QQQ,6,-0.23727257115145525,0,0,4,US,0.0
2023-02-23,SPY,11,-0.007115470753474669,0,0,7,US,0.0
2023-02-24,GLD,1,0.02092861942946911,0,0,1,Commodities,0.0
2023-02-24,QQQ,8,-0.41667864157352597,0,0,2,US,0.0
2023-02-24,SPY,15,-0.3853426135455569,0,0,6,US,0.0
2023-02-27,GLD,2,0.4549981579184532,0,0,1,Commodities,0.0
2023-02-27,QQQ,2,0.8736403826624155,0,0,0,US,0.0
2023-02-27,SPY,8,0.1514329134952277,0,0,4,US,0.0
2023-02-28,GLD,1,0.8577933758497238,0,0,0,Commodities,0.0
2023-02-28,QQQ,4,-0.003360893577337265,0,0,0,US,0.0
2023-02-28,SPY,11,-0.21383655367588456,0,0,3,US,0.0
2023-03-01,GLD,1,-0.20578433945775032,0,0,1,Commodities,0.0
2023-03-01,QQQ,10,-0.2833016716875136,0,0,3,US,0.0
2023-03-01,SPY,13,-0.4190951191748564,0,0,3,US,0.0
2023-03-02,QQQ,10,0.24188760006800294,0,0,3,US,0.0
2023-03-02,SPY,11,0.0474222426048734,0,0,4,US,0.0
2023-03-03,GLD,1,0.8204946648329496,0,0,0,Commodities,0.0
2023-03-03,QQQ,4,-0.19136656960472465,0,0,1,US,0.0
2023-03-03,SPY,12,-0.043317560805007815,0,0,4,US,0.0
2023-03-06,GLD,1,-0.8141573555767536,0,0,0,Commodities,0.0
2023-03-06,QQQ,8,0.03676377283409238,0,0,3,US,0.0
2023-03-06,SPY,18,0.17646594024780723,0,0,7,US,0.0
2023-03-07,EWA,1,0.03577253222465515,0,0,1,Australia,0.0
2023-03-07,GLD,2,-0.1276824939996004,0,0,0,Commodities,0.0
2023-03-07,QQQ,8,-0.07330805202946067,0,0,1,US,0.0
2023-03-07,SPY,18,-0.2612016292081939,0,0,4,US,0.0
