date,tech_vs_broad,small_vs_large,equity_bond_ratio,equity_bond_rotation_10d,gold_silver_ratio,gold_silver_chg_5d,risk_appetite,spy_tlt_corr_30d
2024-01-02,-0.011548070550782996,-0.007616474702516363,5.118831520319536,1.5678951289476384,8.809238086889643,2.4125450672569215,-0.00958227262664968,0.07694673940256719
2024-01-03,-0.015611983661978246,-0.03408324815394426,5.05594244800856,-1.0359717458892526,8.980532273453663,3.989058028831649,-0.02484761590796125,0.06861022395389332
2024-01-04,-0.017616715981754516,-0.03433564653181975,5.117413490780569,0.09828533528799532,8.981025047885037,3.6648769404530546,-0.025976181256787134,0.0999152118092213
2024-01-05,-0.016977949133075487,-0.03448400921685657,5.173914907698474,3.320899796619403,8.927393412389835,2.529575308691978,-0.02573097917496603,0.09214692548210209
2024-01-08,-0.009665433708402338,-0.0183357217742931,5.196510108087763,2.146934347504015,8.89115014571404,1.2968866106195964,-0.01400057774134772,0.12982924693535605
2024-01-09,0.005246590670880735,-0.025407307454165307,5.221920121299838,1.9745508902547115,8.949047270275297,1.5870746369510247,-0.010080358391642286,0.13850334960801983
2024-01-10,0.008957139796800018,-0.012043126542901739,5.276026538719668,2.889642180444185,8.954154499425291,-0.29372172188885104,-0.0015429933730508605,0.1514471204847594
2024-01-11,0.013571549095045876,-0.020803318379232216,5.244253452559046,3.8943713243183353,9.023534960180204,0.4733302943540574,-0.00361588464209317,0.14701830816768904
2024-01-12,0.01356639201224974,-0.01882453129842876,5.258217266159255,3.3753674544653833,8.952808019469177,0.28468115949804584,-0.00262906964308951,0.16456083995159304
2024-01-16,0.01058997600589251,-0.03063478467454206,5.332839859570663,4.198412223748749,8.965172322040543,0.8325376932497797,-0.010022404334324775,0.22353708337050165
2024-01-17,0.006953490238913784,-0.024802923975438484,5.311598983341119,3.765848949245143,8.999515727405978,0.5639534087423348,-0.00892471686826235,0.19803280078420535
2024-01-18,0.011138139254121215,-0.02281817658260843,5.40911550896774,6.985306193473151,9.00384430205474,0.5549357299188484,-0.005840018664243607,0.14170524705684945
2024-01-19,0.01613568884109795,-0.018550325794739475,5.459082877094433,6.676603071637821,9.091920270059157,0.7578549889896813,-0.0012073184768207623,0.181536865558599
